piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	path	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus
c04n07_forlane	1: 6/8	1: 4, 49: 1	61	55	168.0	106	98	288.0		354.75	587	309	0	0	149	E	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1722	1722	François Couperin	Concert Royal no. 4	7	Forlane					© Les Éditions Outremontaises, 2006	2019-10-09	3.02	Linux			"<font size=""13.5""/><font face=""SnellRoundhand BlackScript""/>Concerts Royaux (1722)"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>~ Quatrième Concert ~; <font size=""27""/><font face=""SnellRoundhand BoldScript""/>Forlane"	"<font size=""12""/>10"	"<font size=""18""/><font face=""SnellRoundhand BoldScript""/>François Couperin<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/> 
<font size=""10.5""/><font face=""SnellRoundhand BoldScript""/>(1668-1733)"	3.6.2	2.5.4	MS3	MS3/c04n07_forlane.mscx	False	35-83 (B1-B5)	MS3/c04n07_forlane.mscx	xml	Instrument 1	56-83 (G#3-B5)	Instrument 1	35-64 (B1-E4)		
c05n01_prelude	1: 3/8	1: -1	53	52	78.0	53	52	78.0		148.0	389	253	0	0	99	F	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 5	1	Prelude						2019-08-01	3.02	Linux			"Prelude
"	c05n01		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c05n01_prelude.mscx	False	36-84 (C2-C6)	MS3/c05n01_prelude.mscx		Piano	64-84 (E4-C6)	Piano	36-65 (C2-F4)		
c05n02_allemande	1: 2/2	1: -1	46	43	177.0	89	86	347.5	[[[12], [13]], [[45], [46]]]	339.25	529	351	0	0	154	F	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 5	2	Allemande						2019-08-01	3.02	Linux			"Allemande
"	c05n02		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c05n02_allemande.mscx	False	36-86 (C2-D6)	MS3/c05n02_allemande.mscx		Piano	62-86 (D4-D6)	Piano	36-67 (C2-G4)		
c05n03_sarabande	1: 3/4	1: -3	24	24	72.0	48	48	144.0		152.0	180	112	0	0	54	f	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 5	3	Sarabande						2019-08-01	3.02	Linux			"Sarabande
"	c05n03		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c05n03_sarabande.mscx	False	36-80 (C2-Ab5)	MS3/c05n03_sarabande.mscx		Piano	60-80 (C4-Ab5)	Piano	36-61 (C2-Db4)		
c05n04_gavote	1: 4/4	1: -3	34	32	128.0	68	64	256.0		256.0	386	245	0	0	104	f	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 5	4	Gavote						2019-08-01	3.02	Linux			Gavote	c05n04		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c05n04_gavote.mscx	False	36-84 (C2-C6)	MS3/c05n04_gavote.mscx		Piano	65-84 (F4-C6)	Piano	36-65 (C2-F4)		
c05n05_musete	1: 6/8	1: -1	58	54	162.0	138	129	384.0		299.5	530	318	0	0	118	F	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 5	5	Muséte						2019-08-01	3.02	Linux			Muséte	c05n05		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c05n05_musete.mscx	False	38-86 (D2-D6)	MS3/c05n05_musete.mscx		Piano	65-86 (F4-D6)	Piano	38-70 (D2-Bb4)		
c06n01_grave	1: 4/4	1: -2	24	24	96.0	24	24	96.0		186.5	299	226	0	0	111	Bb	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 6	1	Gravement et mesure						2019-08-01	3.02	Linux			Gravement et mesure	c06n01		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c06n01_grave.mscx	False	36-82 (C2-Bb5)	MS3/c06n01_grave.mscx		Piano	60-82 (C4-Bb5)	Piano	36-70 (C2-Bb4)		
c06n02_allemande	1: 4/4	1: -2	33	31	123.0	54	51	202.0		231.5	518	335	0	0	130	Bb	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 6	2	Allemande						2019-08-01	3.02	Linux			Allemande	c06n02		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c06n02_allemande.mscx	False	36-86 (C2-D6)	MS3/c06n02_allemande.mscx		Piano	63-86 (Eb4-D6)	Piano	36-65 (C2-F4)		
c06n03_sarabande	1: 3/4	1: -2	46	44	133.0	92	88	266.0		263.0	450	318	0	0	115	Bb	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 6	3	Sarabande						2019-08-01	3.02	Linux			Sarabande	c06n03; Mesurée		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c06n03_sarabande.mscx	False	36-84 (C2-C6)	MS3/c06n03_sarabande.mscx		Piano	65-84 (F4-C6)	Piano	36-65 (C2-F4)		
c06n04_air_diable	1: 2/4	1: -2	46	44	88.0	75	72	144.0		160.75	398	263	0	0	105	Bb	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 6	4	Air de Diable						2019-08-01	3.02	Linux			Air de Diable	c06n04		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c06n04_air_diable.mscx	False	36-84 (C2-C6)	MS3/c06n04_air_diable.mscx		Piano	62-84 (D4-C6)	Piano	36-65 (C2-F4)		
c06n05_siciliene	1: 12/8	1: -2	23	21	126.0	46	42	252.0		243.0	468	272	0	0	129	Bb	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 6	5	Siciliéne						2019-08-01	3.02	Linux			Siciliéne	c06n05		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c06n05_siciliene.mscx	False	36-82 (C2-Bb5)	MS3/c06n05_siciliene.mscx		Piano	63-82 (Eb4-Bb5)	Piano	36-67 (C2-G4)		
c07n01_grave	1: 4/4	1: -1	14	14	56.0	14	14	56.0		102.0	246	165	0	0	85	g	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 7	1	Gravement et gracieusement						2019-08-01	3.02	Linux			Gravement et gracieusement	c07n01		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c07n01_grave.mscx	False	38-84 (D2-C6)	MS3/c07n01_grave.mscx		Piano	62-84 (D4-C6)	Piano	38-69 (D2-A4)		
c07n02_allemande	1: 4/4	1: -1	30	28	112.0	60	56	224.0		209.0	544	368	0	0	139	g	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 7	2	Allemande						2019-08-01	3.02	Linux			Allemande	c07n02		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c07n02_allemande.mscx	False	36-84 (C2-C6)	MS3/c07n02_allemande.mscx		Piano	55-84 (G3-C6)	Piano	36-72 (C2-C5)		
c07n03_sarabande	1: 3/4	1: -1	33	33	99.0	66	66	198.0		182.0	226	115	0	0	74	g	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 7	3	Sarabande						2019-08-01	3.02	Linux			Sarabande	c07n03		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c07n03_sarabande.mscx	False	36-84 (C2-C6)	MS3/c07n03_sarabande.mscx		Piano	62-84 (D4-C6)	Piano	36-70 (C2-Bb4)		
c07n04_fuguete	1: 6/8	1: -1	52	50	150.0	104	100	300.0		280.5	804	555	0	0	142	g	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 7	4	Fuguéte						2019-08-01	3.02	Linux			Fuguéte	c07n04		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c07n04_fuguete.mscx	False	38-86 (D2-D6)	MS3/c07n04_fuguete.mscx		Piano	55-86 (G3-D6)	Piano	38-72 (D2-C5)		
c07n05_gavote	1: 4/4	1: -1	30	28	112.0	60	56	224.0		184.0	263	179	0	0	57	g	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 7	5	Gavote						2019-08-01	3.02	Linux			Gavote	c07n05		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c07n05_gavote.mscx	False	38-82 (D2-Bb5)	MS3/c07n05_gavote.mscx		Piano	65-82 (F4-Bb5)	Piano	38-67 (D2-G4)		
c07n06_siciliene	1: 12/8	1: -1	20	18	108.0	40	36	216.0		201.5	281	175	0	0	105	g	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 7	6	Siciliéne						2019-08-01	3.02	Linux			Siciliéne	c07n06		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c07n06_siciliene.mscx	False	38-82 (D2-Bb5)	MS3/c07n06_siciliene.mscx		Piano	66-82 (F#4-Bb5)	Piano	38-63 (D2-Eb4)		
c08n01_ouverture	1: 4/4, 19: 3/4	1: 1	91	89	288.5	179	178	568.5	[[[18], [19]]]	579.75	769	502	0	0	155	G	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 8	1	Ouverture						2019-08-01	3.02	Linux			Ouverture	c08n01		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c08n01_ouverture.mscx	False	38-84 (D2-C6)	MS3/c08n01_ouverture.mscx		Piano	62-84 (D4-C6)	Piano	38-74 (D2-D5)		
c08n02_ritournele	1: 2/2, 16: 6/4	1: -1	61	61	336.0	61	61	336.0		962.0	609	267	0	0	126	g	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 8	2	Grande Ritournèle. Gravement						2019-08-01	3.02	Linux			Grande Ritournéle	c08n02		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c08n02_ritournele.mscx	False	38-84 (D2-C6)	MS3/c08n02_ritournele.mscx		Piano	67-84 (G4-C6)	Piano	62-81 (D4-A5)	Piano	38-75 (D2-Eb5)
c08n03_air	1: 4/4	1: -1	33	31	132.0	63	62	252.0	[[[12], [13]], [[32], [33]]]	249.5	298	192	0	0	68	g	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 8	3	Air. Noblement						2019-08-01	3.02	Linux			Air	c08n03		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c08n03_air.mscx	False	38-82 (D2-Bb5)	MS3/c08n03_air.mscx		Piano	65-82 (F4-Bb5)	Piano	38-65 (D2-F4)		
c08n04_air_tendre	1: 3/4	1: -1	27	24	72.0	63	57	168.0		144.0	137	84	0	0	54	g	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 8	4	Air tendre. Rondeau						2019-08-01	3.02	Linux			Air Tendre	c08n04		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c08n04_air_tendre.mscx	False	38-81 (D2-A5)	MS3/c08n04_air_tendre.mscx		Piano	67-81 (G4-A5)	Piano	38-60 (D2-C4)		
c08n05_air_leger	1: 3/8	1: 1	41	38	58.0	74	70	105.0	[[[34], [35]]]	116.0	234	132	0	0	75	G	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 8	5	Air léger						2019-08-01	3.02	Linux			Air Léger	c08n05		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c08n05_air_leger.mscx	False	38-81 (D2-A5)	MS3/c08n05_air_leger.mscx		Piano	62-81 (D4-A5)	Piano	38-64 (D2-E4)		
c08n06_Loure	1: 6/4	1: 1	34	32	192.0	68	64	384.0		379.5	302	172	0	0	113	G	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 8	6	Loure. Pesament						2019-08-01	3.02	Linux			Loure	c08n06		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c08n06_Loure.mscx	False	38-83 (D2-B5)	MS3/c08n06_Loure.mscx		Piano	67-83 (G4-B5)	Piano	38-64 (D2-E4)		
c08n07_air	1: 4/4	1: -1	30	28	112.0	60	56	224.0		223.0	224	145	0	0	74	g	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 8	7	Air. Animé et leger						2019-08-01	3.02	Linux			Air	c08n07		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c08n07_air.mscx	False	38-82 (D2-Bb5)	MS3/c08n07_air.mscx		Piano	65-82 (F4-Bb5)	Piano	38-63 (D2-Eb4)		
c08n08_sarabande	1: 3/4	1: 1	26	24	78.0	48	48	144.0	[[[8], [9]], [[25], [26]]]	154.5	151	99	0	0	64	G	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 8	8	Sarabande. Grave et tendre						2019-08-01	3.02	Linux			Sarabande	c08n08		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c08n08_sarabande.mscx	False	38-81 (D2-A5)	MS3/c08n08_sarabande.mscx		Piano	67-81 (G4-A5)	Piano	38-64 (D2-E4)		
c08n09_air_leger	1: 3/4	1: 1	30	29	96.0	58	58	186.0	[[[11], [12]]]	185.0	226	168	0	0	49	G	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 8	9	Air léger						2019-08-01	3.02	Linux			Air Léger	c08n09		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c08n09_air_leger.mscx	False	38-84 (D2-C6)	MS3/c08n09_air_leger.mscx		Piano	66-84 (F#4-C6)	Piano	38-64 (D2-E4)		
c08n10_air_lentement	1: 3/4	1: -1	49	46	147.0	93	93	279.0	[[[20], [21]], [[47, 48], [49]]]	285.0	369	225	0	0	102	g	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 8	10	Air tendre. Lentement						2019-08-01	3.02	Linux			Air Tendre	c08n10		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c08n10_air_lentement.mscx	False	38-82 (D2-Bb5)	MS3/c08n10_air_lentement.mscx		Piano	66-82 (F#4-Bb5)	Piano	38-77 (D2-F5)		
c08n11_air_baccantes	1: 6/4	1: 1	20	18	109.0	40	36	218.0		206.0	223	149	0	0	59	G	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 8	11	Air de Baccantes. Très animé						2019-08-01	3.02	Linux			Air de Baccantes	c08n11		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c08n11_air_baccantes.mscx	False	38-83 (D2-B5)	MS3/c08n11_air_baccantes.mscx		Piano	62-83 (D4-B5)	Piano	38-64 (D2-E4)		
c09n01_charme	1: 4/4	1: 4	20	20	78.0	20	20	78.0		145.5	403	263	0	0	129	E	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 9	1	Le charme. Gracieusement et gravement						2019-08-01	3.02	Linux			Le Charme	c09n01		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c09n01_charme.mscx	False	40-83 (E2-B5)	MS3/c09n01_charme.mscx		Piano	61-83 (C#4-B5)	Piano	40-71 (E2-B4)		
c09n02_lenjouement	1: 4/4	1: 4	37	34	138.0	72	68	273.5	[[[36], [37]]]	247.75	607	420	0	0	184	E	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 9	2	L’enjoüement. Gayement						2019-08-01	3.02	Linux			L'enjoüement	c09n02		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c09n02_lenjouement.mscx	False	40-83 (E2-B5)	MS3/c09n02_lenjouement.mscx		Piano	59-83 (B3-B5)	Piano	40-64 (E2-E4)		
c09n03_graces	1: 6/4	1: 4	24	22	132.0	48	44	264.0		266.5	318	209	0	0	93	E	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 9	3	Les graces. Courante françoise						2019-08-01	3.02	Linux			Les Graces	c09n03		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c09n03_graces.mscx	False	40-81 (E2-A5)	MS3/c09n03_graces.mscx		Piano	61-81 (C#4-A5)	Piano	40-73 (E2-C#5)		
c09n04_Lejene	1: 2/4	1: 4	54	52	104.0	108	104	208.0		187.25	354	221	0	0	113	E	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 9	4	Le je-ne-scay-quoy. Gayement						2019-08-01	3.02	Linux			Le, je-ne-Scay-quoy	c09n04		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c09n04_Lejene.mscx	False	40-80 (E2-G#5)	MS3/c09n04_Lejene.mscx		Piano	64-80 (E4-G#5)	Piano	40-68 (E2-G#4)		
c09n05_vivacite	1: 4/4	1: 4	37	35	140.0	74	70	280.0		266.0	673	431	0	0	173	E	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 9	5	La vivacité						2019-08-01	3.02	Linux			La Vivacité	c09n05		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c09n05_vivacite.mscx	False	40-83 (E2-B5)	MS3/c09n05_vivacite.mscx		Piano	58-83 (A#3-B5)	Piano	40-69 (E2-A4)		
c09n06_Sarabande	1: 3/4	1: 1	25	24	75.0	48	48	144.0	[[[8], [9]]]	144.0	213	141	0	0	50	e	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 9	6	La noble fierté. Sarabande. Gravement						2019-08-01	3.02	Linux			Sarabande	c09n06		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c09n06_Sarabande.mscx	False	40-85 (E2-C#6)	MS3/c09n06_Sarabande.mscx		Piano	63-85 (D#4-C#6)	Piano	40-62 (E2-D4)		
c09n07_douceur	1: 3/8	1: 1	45	42	64.5	88	84	127.5	[[[17], [18]], [[44], [45]]]	130.75	329	203	0	0	102	e	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 9	7	La douceur. Amoureusement						2019-08-01	3.02	Linux			La Douceur	c09n07		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c09n07_douceur.mscx	False	35-81 (B1-A5)	MS3/c09n07_douceur.mscx		Piano	63-81 (D#4-A5)	Piano	35-60 (B1-C4)		
c09n08_caetera	1: 6/8	1: 1, 15: 4	27	23	69.0	54	46	138.0		128.0	314	212	0	0	75	e	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 9	8	L’et cӕtera, ou Menuets						2019-08-01	3.02	Linux			L'et Caetera ou Menuets	c09n08		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c09n08_caetera.mscx	False	40-81 (E2-A5)	MS3/c09n08_caetera.mscx		Piano	62-81 (D4-A5)	Piano	40-67 (E2-G4)		
c10n01_gravement	1: 4/4	1: 0	14	14	56.0	14	14	56.0		106.0	249	181	0	0	74	a	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 10	1	Gravement et mesuré						2019-08-01	3.02	Linux			Gravement	c10n01		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c10n01_gravement.mscx	False	40-83 (E2-B5)	MS3/c10n01_gravement.mscx		Piano	64-83 (E4-B5)	Piano	40-64 (E2-E4)		
c10n02_air	1: 6/8	1: 0	34	32	96.0	68	64	192.0		182.5	429	266	0	0	124	a	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 10	2	Air tendre et louré. Sans lenteur						2019-08-01	3.02	Linux			Air Tendre e Louré	c10n02		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c10n02_air.mscx	False	40-84 (E2-C6)	MS3/c10n02_air.mscx		Piano	59-84 (B3-C6)	Piano	40-65 (E2-F4)		
c10n03_plainte	1: 4/4	1: 3, 23: 0	41	36	153.0	75	71	284.5	[[[8], [9]], [[21], [22]], [[40], [41]]]	388.5	530	263	0	0	92	A	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 10	3	Plainte pour les violes ou autres instrumens à l’unisson. Lentement et douloureusement						2019-08-01	3.02	Linux			Plainte, pour les Violes ou autres instruments a l'unisson	c10n03		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c10n03_plainte.mscx	False	33-71 (A1-B4)	MS3/c10n03_plainte.mscx		Piano	52-71 (E3-B4)	Piano	33-69 (A1-A4)		
c10n04_tromba	1: 6/8	1: 3	44	42	126.0	88	84	252.0		237.5	388	263	0	0	74	A	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 10	4	La tromba. Légèrement						2019-08-01	3.02	Linux			La Tromba	c10n04		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c10n04_tromba.mscx	False	40-83 (E2-B5)	MS3/c10n04_tromba.mscx		Piano	59-83 (B3-B5)	Piano	40-71 (E2-B4)		
c11n01_majestueusement	1: 6/4	1: -2	38	38	228.0	38	38	228.0		429.5	297	222	0	0	88	c	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 11	1	Majestuesement						2019-08-01	3.02	Linux			Majestueusement	c11n01		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c11n01_majestueusement.mscx	False	41-84 (F2-C6)	MS3/c11n01_majestueusement.mscx		Piano	65-84 (F4-C6)	Piano	41-67 (F2-G4)		
c11n02_allemande	1: 4/4	1: -2	24	22	88.0	48	44	176.0		159.88	479	318	0	0	124	c	2.3.0	Tobias Drewelius (2.1.0), Hanné (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 11	2	Allemande						2019-08-01	3.02	Linux			Allemande	c11n02		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c11n02_allemande.mscx	False	36-82 (C2-Bb5)	MS3/c11n02_allemande.mscx		Piano	60-82 (C4-Bb5)	Piano	36-63 (C2-Eb4)		
c11n03_seconde_allemande	1: 4/4	1: -2	22	20	80.0	44	40	160.0		152.5	423	268	0	0	117	c	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 11	3	Second Allemande						2019-08-01	3.02	Linux			Seconde Allemande plus Légére	c11n03		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c11n03_seconde_allemande.mscx	False	36-84 (C2-C6)	MS3/c11n03_seconde_allemande.mscx		Piano	66-84 (F#4-C6)	Piano	36-67 (C2-G4)		
c11n04_courante	1: 6/4	1: -2	21	18	113.5	38	34	204.0	[[[18], [19]]]	224.0	246	154	0	0	83	c	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 11	4	Courante						2019-08-01	3.02	Linux			Courante	c11n04		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c11n04_courante.mscx	False	36-80 (C2-Ab5)	MS3/c11n04_courante.mscx		Piano	65-80 (F4-Ab5)	Piano	36-65 (C2-F4)		
c11n05_seconde_courante	1: 6/4	1: 0	23	21	126.0	46	42	252.0		243.25	279	181	0	0	84	C	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 11	5	Seconde Courante						2019-08-01	3.02	Linux			Seconde Courante	c11n05		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c11n05_seconde_courante.mscx	False	36-81 (C2-A5)	MS3/c11n05_seconde_courante.mscx		Piano	60-81 (C4-A5)	Piano	36-62 (C2-D4)		
c11n06_sarabande	1: 3/4	1: -2	36	36	108.0	72	72	216.0		196.0	260	196	0	0	70	c	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 11	6	Sarabande						2019-08-01	3.02	Linux			Sarabande	c11n06		Francois Couperin	3.6.2	2.5.4	MS3	MS3/c11n06_sarabande.mscx	False	36-81 (C2-A5)	MS3/c11n06_sarabande.mscx		Piano	55-81 (G3-A5)	Piano	36-65 (C2-F4)		
